id;apellido;fechaHora
CITA-97;Ruiz;2025-03-01T09:59:00
CITA-3;Mendoza;2025-03-01T10:40:00
CITA-35;Silva;2025-03-01T13:13:00
CITA-25;Rojas;2025-03-05T12:16:00
CITA-22;Mendoza;2025-03-01T15:26:00
CITA-27;Ruiz;2025-03-21T08:18:00
CITA-19;Silva;2025-03-08T14:26:00
CITA-84;Rojas;2025-03-02T16:50:00
CITA-50;Ruiz;2025-03-03T11:02:00
CITA-92;Ruiz;2025-03-04T08:44:00
CITA-39;Silva;2025-03-04T14:38:00
CITA-55;Rojas;2025-03-04T16:13:00
CITA-15;Mendoza;2025-03-05T09:58:00
CITA-60;Rojas;2025-03-05T09:59:00
CITA-29;Silva;2025-03-05T12:01:00
CITA-24;Silva;2025-03-05T12:13:00
CITA-20;Silva;2025-03-01T13:45:00
CITA-91;Silva;2025-03-05T17:52:00
CITA-49;Rojas;2025-03-06T11:12:00
CITA-81;Mendoza;2025-03-06T13:42:00
CITA-76;Mendoza;2025-03-06T15:52:00
CITA-44;Ruiz;2025-03-06T17:44:00
CITA-46;Silva;2025-03-07T08:30:00
CITA-23;Mendoza;2025-03-07T09:30:00
CITA-78;Ruiz;2025-03-07T14:39:00
CITA-75;Ruiz;2025-03-07T16:53:00
CITA-68;Ruiz;2025-03-08T08:55:00
CITA-74;Mendoza;2025-03-08T10:44:00
CITA-42;Ruiz;2025-03-08T11:48:00
CITA-9;Mendoza;2025-03-02T16:46:00
CITA-57;Mendoza;2025-03-08T15:53:00
CITA-4;Ruiz;2025-03-08T16:28:00
CITA-53;Ruiz;2025-03-09T10:26:00
CITA-38;Rojas;2025-03-09T13:08:00
CITA-67;Mendoza;2025-03-09T15:30:00
CITA-95;Silva;2025-03-10T08:07:00
CITA-59;Mendoza;2025-03-10T10:18:00
CITA-18;Ruiz;2025-03-10T14:44:00
CITA-90;Silva;2025-03-10T15:19:00
CITA-36;Ruiz;2025-03-11T09:49:00
CITA-94;Mendoza;2025-03-11T13:27:00
CITA-14;Rojas;2025-03-11T16:17:00
CITA-58;Silva;2025-03-12T15:51:00
CITA-99;Rojas;2025-03-13T10:43:00
CITA-85;Silva;2025-03-13T11:08:00
CITA-1;Silva;2025-03-14T15:07:00
CITA-45;Rojas;2025-03-15T10:23:00
CITA-47;Ruiz;2025-03-15T12:36:00
CITA-28;Mendoza;2025-03-15T12:59:00
CITA-7;Rojas;2025-03-15T13:47:00
CITA-40;Silva;2025-03-15T15:31:00
CITA-96;Silva;2025-03-16T14:09:00
CITA-6;Rojas;2025-03-20T16:53:00
CITA-48;Silva;2025-03-17T11:37:00
CITA-89;Mendoza;2025-03-17T14:43:00
CITA-51;Ruiz;2025-03-17T17:03:00
CITA-100;Mendoza;2025-03-18T10:30:00
CITA-86;Silva;2025-03-18T12:48:00
CITA-62;Silva;2025-03-18T15:53:00
CITA-21;Ruiz;2025-03-18T16:45:00
CITA-33;Mendoza;2025-03-19T10:24:00
CITA-31;Rojas;2025-03-19T12:05:00
CITA-17;Mendoza;2025-03-19T15:03:00
CITA-5;Ruiz;2025-03-19T15:13:00
CITA-63;Rojas;2025-03-19T16:52:00
CITA-41;Mendoza;2025-03-19T17:31:00
CITA-87;Mendoza;2025-03-20T10:28:00
CITA-66;Ruiz;2025-03-20T14:40:00
CITA-77;Mendoza;2025-03-20T16:01:00
CITA-56;Silva;2025-03-20T16:42:00
CITA-61;Rojas;2025-03-27T17:50:00
CITA-73;Mendoza;2025-03-02T13:48:00
CITA-69;Ruiz;2025-03-21T11:31:00
CITA-83;Ruiz;2025-03-21T12:04:00
CITA-64;Ruiz;2025-03-21T14:38:00
CITA-37;Silva;2025-03-21T14:54:00
CITA-98;Mendoza;2025-03-21T17:38:00
CITA-80;Ruiz;2025-03-22T08:41:00
CITA-32;Silva;2025-03-22T08:47:00
CITA-13;Rojas;2025-03-22T10:30:00
CITA-16;Ruiz;2025-03-22T15:39:00
CITA-34;Ruiz;2025-03-23T08:46:00
CITA-26;Rojas;2025-03-24T14:31:00
CITA-54;Ruiz;2025-03-24T17:13:00
CITA-8;Ruiz;2025-03-25T11:14:00
CITA-12;Mendoza;2025-03-25T16:32:00
CITA-11;Silva;2025-03-25T16:51:00
CITA-65;Rojas;2025-03-25T17:01:00
CITA-30;Rojas;2025-03-26T09:48:00
CITA-52;Ruiz;2025-03-26T13:15:00
CITA-82;Silva;2025-03-26T16:48:00
CITA-72;Rojas;2025-03-17T09:52:00
CITA-43;Ruiz;2025-03-28T10:24:00
CITA-71;Mendoza;2025-03-29T09:09:00
CITA-2;Mendoza;2025-03-29T11:28:00
CITA-70;Rojas;2025-03-29T16:03:00
CITA-88;Mendoza;2025-03-29T17:56:00
CITA-93;Mendoza;2025-03-30T08:44:00
CITA-10;Ruiz;2025-03-30T09:44:00
CITA-79;Mendoza;2025-03-30T13:27:00
